maker-21-augustus-gene-31.0-mRNA-1	IPR006769,IPR039055
maker-54-augustus-gene-125.8-mRNA-1	IPR001715,IPR002017,IPR002048,IPR014837,IPR018159,IPR026921
maker-371-augustus-gene-14.7-mRNA-1	IPR002999,IPR025605
augustus_masked-251765-processed-gene-0.2-mRNA-1	IPR004254
maker-112449-augustus-gene-0.9-mRNA-1	IPR001759
augustus_masked-291-processed-gene-10.0-mRNA-1	IPR000142,IPR000276,IPR017452
maker-15-snap-gene-110.15-mRNA-1	IPR000719
augustus_masked-19-processed-gene-44.0-mRNA-1	IPR015021
augustus_masked-15-processed-gene-116.0-mRNA-1	IPR000340,IPR000387,IPR001763,IPR008343,IPR020422
maker-368-augustus-gene-12.6-mRNA-1	IPR001791,IPR028875
maker-28-snap-gene-12.10-mRNA-1	IPR026636
maker-111943-snap-gene-0.10-mRNA-1	IPR000719,IPR035065
augustus_masked-1-processed-gene-86.1-mRNA-1	IPR001876,IPR003892
snap_masked-153-processed-gene-122.4-mRNA-1	IPR038867
augustus_masked-1-processed-gene-160.2-mRNA-1	IPR000742,IPR000998,IPR001881,IPR032930
maker-12-snap-gene-150.5-mRNA-1	IPR001650,IPR011545,IPR014001,IPR014014,IPR025313
augustus_masked-2-processed-gene-140.2-mRNA-1	IPR001101,IPR002017,IPR002048,IPR003108,IPR018159,IPR029926
maker-158-snap-gene-60.7-mRNA-1	IPR003890,IPR003891
maker-113-snap-gene-6.10-mRNA-1	IPR018732,IPR030041
maker-374-augustus-gene-8.36-mRNA-1	IPR001208,IPR003593,IPR008046,IPR027925,IPR031327,IPR033762,IPR041562
maker-8-snap-gene-233.17-mRNA-1	IPR012462
maker-28-augustus-gene-8.9-mRNA-1	IPR001429,IPR003047
maker-16-augustus-gene-55.7-mRNA-1	IPR009787
maker-21-augustus-gene-42.2-mRNA-1	IPR029368
maker-7-augustus-gene-122.13-mRNA-1	IPR001356,IPR017995,IPR020479
maker-0start-augustus-gene-281.3-mRNA-1	IPR003650,IPR011598
augustus_masked-13-processed-gene-218.2-mRNA-1	IPR029181
maker-172-augustus-gene-8.9-mRNA-1	IPR000323,IPR005018,IPR024548,IPR028460
snap_masked-471-processed-gene-7.1-mRNA-1	IPR003350
maker-77-snap-gene-34.18-mRNA-1	IPR000008,IPR000909,IPR000980,IPR001192,IPR001452,IPR001711,IPR001849,IPR002048,IPR028380
snap_masked-64-processed-gene-20.21-mRNA-1	IPR001404,IPR003594,IPR020575
augustus_masked-30-processed-gene-11.3-mRNA-1	IPR001806,IPR020849
maker-204-augustus-gene-0.25-mRNA-1	IPR001623,IPR015399
augustus_masked-16-processed-gene-35.12-mRNA-1	IPR000073,IPR022742
maker-14-snap-gene-55.1-mRNA-1	IPR002123
snap_masked-320-processed-gene-10.2-mRNA-1	IPR002209,IPR028289
maker-323-augustus-gene-69.12-mRNA-1	IPR001680,IPR017986,IPR020472,IPR028021
maker-40-snap-gene-1.41-mRNA-1	IPR001806
snap_masked-54-processed-gene-97.21-mRNA-1	IPR000727,IPR000928
augustus_masked-3-processed-gene-68.0-mRNA-1	IPR018108
maker-4-snap-gene-73.3-mRNA-1	IPR018155
maker-13-augustus-gene-122.2-mRNA-1	IPR000276,IPR004065,IPR005385,IPR017452
augustus_masked-50-processed-gene-2.24-mRNA-1	IPR025739,IPR025740,IPR025741
maker-21-augustus-gene-55.9-mRNA-1	IPR001660,IPR002110,IPR012317,IPR020683,IPR028731
maker-17-augustus-gene-61.0-mRNA-1	IPR001478,IPR006020,IPR030530
augustus_masked-32-processed-gene-199.3-mRNA-1	IPR001452,IPR004148
snap_masked-72-processed-gene-17.2-mRNA-1	IPR026914
maker-15-augustus-gene-105.15-mRNA-1	IPR003593,IPR003959,IPR031996,IPR041569
maker-4-snap-gene-138.21-mRNA-1	IPR000276,IPR001817,IPR017452
snap_masked-113160-processed-gene-0.5-mRNA-1	IPR007882
snap_masked-129-processed-gene-6.10-mRNA-1	IPR002123
maker-24-augustus-gene-6.13-mRNA-1	IPR000938,IPR001752,IPR022140,IPR022164,IPR027640,IPR032405,IPR032923
maker-13-augustus-gene-204.1-mRNA-1	IPR013026,IPR019412,IPR019734,IPR030416
snap_masked-387-processed-gene-0.7-mRNA-1	IPR000369,IPR005424
maker-10-augustus-gene-69.7-mRNA-1	IPR001451,IPR003307,IPR005835
augustus_masked-248-processed-gene-1.15-mRNA-1	IPR006689
maker-245255-snap-gene-0.7-mRNA-1	IPR029668
maker-398-snap-gene-6.2-mRNA-1	IPR029198,IPR039239
maker-13-augustus-gene-17.17-mRNA-1	IPR003130,IPR020850,IPR022812
maker-29-snap-gene-1.7-mRNA-1	IPR000971,IPR002338,IPR002339
maker-70-snap-gene-12.23-mRNA-1	IPR040032
maker-10-snap-gene-24.24-mRNA-1	IPR003663,IPR005828,IPR020846
augustus_masked-107779-processed-gene-0.4-mRNA-1	IPR003461
maker-37-snap-gene-15.0-mRNA-1	IPR026229
maker-39-augustus-gene-27.0-mRNA-1	IPR001315,IPR001452,IPR001478,IPR006907,IPR008144,IPR008145
snap_masked-220-processed-gene-18.9-mRNA-1	IPR009071,IPR031077
maker-6-augustus-gene-62.0-mRNA-1	IPR000772,IPR001173
maker-13-augustus-gene-0.16-mRNA-1	IPR000727,IPR015260
augustus_masked-95-processed-gene-3.27-mRNA-1	IPR000719,IPR001245
maker-398-snap-gene-22.0-mRNA-1	IPR005813
maker-15-augustus-gene-176.22-mRNA-1	IPR001680,IPR005108,IPR017986
snap_masked-158-processed-gene-53.5-mRNA-1	IPR008466
maker-15-augustus-gene-117.1-mRNA-1	IPR005302,IPR005303
maker-32-snap-gene-204.3-mRNA-1	IPR000884,IPR003598,IPR003599,IPR007110,IPR013098,IPR013273
snap_masked-280-processed-gene-0.15-mRNA-1	IPR000315,IPR001841,IPR027370
maker-238-snap-gene-29.5-mRNA-1	IPR000210
maker-112449-augustus-gene-0.11-mRNA-1	IPR031248
snap_masked-323-processed-gene-5.2-mRNA-1	IPR000225
augustus_masked-172-processed-gene-29.36-mRNA-1	IPR005374
maker-17-augustus-gene-50.1-mRNA-1	IPR015590
maker-263-snap-gene-5.7-mRNA-1	IPR033360
maker-243-snap-gene-4.8-mRNA-1	IPR003127
maker-23-augustus-gene-32.12-mRNA-1	IPR000719,IPR001090,IPR001245,IPR001660,IPR003961,IPR011641,IPR020635,IPR027936
maker-12-augustus-gene-3.13-mRNA-1	IPR007110
maker-13-augustus-gene-208.30-mRNA-1	IPR000306,IPR017455,IPR022557,IPR024608
maker-77-augustus-gene-33.2-mRNA-1	IPR001631,IPR008336,IPR013499,IPR013500,IPR025834
augustus_masked-83-processed-gene-1.0-mRNA-1	IPR014048
augustus_masked-16-processed-gene-4.9-mRNA-1	IPR031674
maker-75-augustus-gene-4.21-mRNA-1	IPR024864,IPR025712,IPR040985
augustus_masked-21-processed-gene-59.14-mRNA-1	IPR006075,IPR017959,IPR018027
maker-39-augustus-gene-37.0-mRNA-1	IPR004181
maker-430-augustus-gene-0.0-mRNA-1	IPR001680,IPR017986
maker-99-augustus-gene-92.2-mRNA-1	IPR000719
snap_masked-35-processed-gene-16.14-mRNA-1	IPR004031,IPR026763
maker-8-snap-gene-75.5-mRNA-1	IPR000559,IPR000672,IPR020630,IPR020631
maker-95-augustus-gene-1.22-mRNA-1	IPR004038,IPR024824
snap_masked-12-processed-gene-126.5-mRNA-1	IPR013766
maker-6-augustus-gene-384.10-mRNA-1	IPR019338,IPR021137
maker-9-snap-gene-49.6-mRNA-1	IPR002108,IPR028438
snap_masked-111059-processed-gene-0.8-mRNA-1	IPR016093
maker-158-augustus-gene-21.13-mRNA-1	IPR000674,IPR002346,IPR002888,IPR005107,IPR008274,IPR016166
augustus_masked-341-processed-gene-0.44-mRNA-1	IPR001729,IPR007084,IPR015091
maker-27-augustus-gene-84.6-mRNA-1	IPR001627,IPR003599,IPR007110,IPR013098,IPR016201,IPR027231
maker-207-snap-gene-7.48-mRNA-1	IPR006091,IPR009075,IPR013786
maker-4-augustus-gene-96.5-mRNA-1	IPR001163
maker-220-augustus-gene-54.21-mRNA-1	IPR013026,IPR039663
maker-15-augustus-gene-76.6-mRNA-1	IPR012320,IPR028565,IPR031232
snap_masked-374-processed-gene-8.29-mRNA-1	IPR019316,IPR028839
snap_masked-112879-processed-gene-0.1-mRNA-1	IPR002126,IPR013164,IPR032455
maker-112790-snap-gene-1.18-mRNA-1	IPR003961,IPR015319
maker-137672-snap-gene-0.1-mRNA-1	IPR000467,IPR006569,IPR006903,IPR039037
maker-7-augustus-gene-161.10-mRNA-1	IPR000014,IPR001610,IPR013655,IPR013767,IPR033348,IPR039091
snap_masked-172-processed-gene-21.15-mRNA-1	IPR003598,IPR003599,IPR007110,IPR013098,IPR032984
maker-22-snap-gene-23.3-mRNA-1	IPR002048,IPR029633
snap_masked-112932-processed-gene-0.13-mRNA-1	IPR010625,IPR033620
maker-39-snap-gene-5.7-mRNA-1	IPR006077,IPR017997
maker-323-augustus-gene-43.0-mRNA-1	IPR013883,IPR040218
maker-10-augustus-gene-100.4-mRNA-1	IPR007053
maker-33-augustus-gene-14.0-mRNA-1	IPR033353,IPR038916,IPR039444
maker-186-augustus-gene-0.42-mRNA-1	IPR006434
maker-252701-augustus-gene-0.3-mRNA-1	IPR006762
augustus_masked-113160-processed-gene-0.12-mRNA-1	IPR007130
augustus_masked-59-processed-gene-37.16-mRNA-1	IPR039298
augustus_masked-8-processed-gene-28.1-mRNA-1	IPR019399
maker-6-augustus-gene-200.0-mRNA-1	IPR001678,IPR042620
augustus_masked-172-processed-gene-58.7-mRNA-1	IPR000885
maker-394-augustus-gene-1.13-mRNA-1	IPR000225,IPR002553,IPR008152,IPR015151,IPR026739
augustus_masked-21-processed-gene-73.4-mRNA-1	IPR010839
augustus_masked-7-processed-gene-80.7-mRNA-1	IPR000608
augustus_masked-56-processed-gene-13.3-mRNA-1	IPR031453
augustus_masked-55-processed-gene-15.3-mRNA-1	IPR001019,IPR001408
maker-107-augustus-gene-2.12-mRNA-1	IPR001806
snap_masked-67-processed-gene-43.10-mRNA-1	IPR005026,IPR030527
augustus_masked-87-processed-gene-5.0-mRNA-1	IPR001304,IPR001599,IPR002890,IPR011625,IPR040839,IPR041555
maker-0start-augustus-gene-524.5-mRNA-1	IPR007751,IPR022122
maker-422-augustus-gene-24.10-mRNA-1	IPR001452,IPR031160
maker-220-snap-gene-19.5-mRNA-1	IPR022078
maker-126-augustus-gene-10.5-mRNA-1	IPR001394,IPR001607,IPR028889
snap_masked-18-processed-gene-12.6-mRNA-1	IPR000209,IPR002884
maker-49-augustus-gene-28.10-mRNA-1	IPR001073,IPR008160
maker-71-augustus-gene-6.9-mRNA-1	IPR004468,IPR017456,IPR017926
maker-39-snap-gene-37.15-mRNA-1	IPR002130
augustus_masked-389-processed-gene-0.26-mRNA-1	IPR003598,IPR003599,IPR007110
snap_masked-157-processed-gene-1.8-mRNA-1	IPR008380
augustus_masked-441-processed-gene-1.53-mRNA-1	IPR000608
maker-265-snap-gene-0.19-mRNA-1	IPR033277
augustus_masked-72-processed-gene-7.0-mRNA-1	IPR001388,IPR016444,IPR042855
maker-472-augustus-gene-2.0-mRNA-1	IPR000719,IPR001054,IPR001245,IPR011645
maker-243-snap-gene-4.6-mRNA-1	IPR001452
maker-12-augustus-gene-145.8-mRNA-1	IPR000747,IPR001356,IPR019549,IPR020479
augustus_masked-19-processed-gene-66.2-mRNA-1	IPR000202,IPR000337,IPR001828
maker-16-augustus-gene-2.52-mRNA-1	IPR000467,IPR000504,IPR001876,IPR013087,IPR033094,IPR041591
snap_masked-404-processed-gene-1.20-mRNA-1	IPR008400,IPR017360
snap_masked-229-processed-gene-9.46-mRNA-1	IPR001005,IPR017930,IPR030657,IPR031902
maker-13-snap-gene-178.0-mRNA-1	IPR001356,IPR003654
maker-372-snap-gene-8.7-mRNA-1	IPR000566
maker-2-augustus-gene-258.19-mRNA-1	IPR000340,IPR000387,IPR001339
snap_masked-192827-processed-gene-0.0-mRNA-1	IPR008211
maker-112979-augustus-gene-0.30-mRNA-1	IPR003890
maker-0start-augustus-gene-131.1-mRNA-1	IPR024420
snap_masked-56-processed-gene-7.12-mRNA-1	IPR028561
maker-20-augustus-gene-55.9-mRNA-1	IPR000741
augustus_masked-247320-processed-gene-0.9-mRNA-1	IPR016449,IPR040445,IPR041647
maker-450-snap-gene-1.23-mRNA-1	IPR000014,IPR001067,IPR001610,IPR011598,IPR013767
maker-368-augustus-gene-35.1-mRNA-1	IPR004839
maker-153-snap-gene-41.0-mRNA-1	IPR001357
maker-113051-augustus-gene-0.3-mRNA-1	IPR006925,IPR006926,IPR016534
snap_masked-52-processed-gene-2.5-mRNA-1	IPR008717
maker-15-snap-gene-165.10-mRNA-1	IPR027486,IPR040055
snap_masked-74-processed-gene-5.12-mRNA-1	IPR001190,IPR002350,IPR003645
snap_masked-186443-processed-gene-0.5-mRNA-1	IPR001841,IPR001965,IPR013136,IPR018501,IPR019787,IPR028941,IPR028942
maker-18-snap-gene-115.3-mRNA-1	IPR005599,IPR039521
snap_masked-10-processed-gene-72.2-mRNA-1	IPR018491
maker-30-snap-gene-2.4-mRNA-1	IPR031671
maker-1-snap-gene-198.0-mRNA-1	IPR041492
snap_masked-3-processed-gene-86.8-mRNA-1	IPR002719,IPR015030,IPR028309,IPR033057
snap_masked-28-processed-gene-60.0-mRNA-1	IPR028435,IPR028444
maker-422-augustus-gene-7.1-mRNA-1	IPR001251,IPR015871,IPR022181
augustus_masked-68-processed-gene-63.7-mRNA-1	IPR000465,IPR022652,IPR022656
maker-368-augustus-gene-3.0-mRNA-1	IPR019011
maker-28-snap-gene-28.2-mRNA-1	IPR000109
snap_masked-150-processed-gene-2.17-mRNA-1	IPR019018,IPR032920
maker-126-augustus-gene-12.3-mRNA-1	IPR000372,IPR001611,IPR003591,IPR027215
snap_masked-4-processed-gene-291.2-mRNA-1	IPR000772,IPR001173,IPR001680,IPR017986
augustus_masked-12-processed-gene-85.2-mRNA-1	IPR000330,IPR001650,IPR010003,IPR014001,IPR030101
maker-445-augustus-gene-0.58-mRNA-1	IPR003598,IPR003599,IPR003961,IPR007110,IPR013098,IPR013106
maker-14-augustus-gene-35.8-mRNA-1	IPR000418,IPR022084
snap_masked-267-processed-gene-0.2-mRNA-1	IPR011680,IPR015642
maker-297-augustus-gene-1.0-mRNA-1	IPR001005,IPR001214,IPR021654,IPR026489,IPR033467,IPR041343,IPR041355
maker-109-augustus-gene-63.1-mRNA-1	IPR000719,IPR004147
maker-31-augustus-gene-25.22-mRNA-1	IPR042398
snap_masked-386-processed-gene-0.31-mRNA-1	IPR000859,IPR002172
snap_masked-60-processed-gene-0.6-mRNA-1	IPR003886
maker-12-snap-gene-142.12-mRNA-1	IPR002589,IPR004170,IPR012317
augustus_masked-113223-processed-gene-0.26-mRNA-1	IPR002126,IPR013164,IPR031904,IPR032455
augustus_masked-40-processed-gene-6.0-mRNA-1	IPR002048
maker-13-augustus-gene-226.0-mRNA-1	IPR000884,IPR001862,IPR002172,IPR020864,IPR037566
augustus_masked-13-processed-gene-1.1-mRNA-1	IPR005449
maker-8-snap-gene-52.12-mRNA-1	IPR000330,IPR001650,IPR001841,IPR001965,IPR005818,IPR014001,IPR027370
augustus_masked-39-processed-gene-115.4-mRNA-1	IPR011598,IPR032663
maker-250448-augustus-gene-0.6-mRNA-1	IPR001650,IPR031879
maker-23-augustus-gene-20.19-mRNA-1	IPR000010,IPR001713
snap_masked-112673-processed-gene-0.8-mRNA-1	IPR001356,IPR003654
snap_masked-147-processed-gene-5.2-mRNA-1	IPR004843
maker-450-snap-gene-0.7-mRNA-1	IPR001849,IPR028452
augustus_masked-25-processed-gene-106.1-mRNA-1	IPR000863,IPR037359
augustus_masked-72-processed-gene-18.5-mRNA-1	IPR001870,IPR003877
maker-4-augustus-gene-83.1-mRNA-1	IPR005817
maker-8-snap-gene-260.7-mRNA-1	IPR011701
snap_masked-58-processed-gene-1.36-mRNA-1	IPR001064
maker-79-augustus-gene-35.18-mRNA-1	IPR040122,IPR041389
maker-2-augustus-gene-96.3-mRNA-1	IPR006634
maker-30-augustus-gene-4.36-mRNA-1	IPR000008,IPR014770,IPR014772,IPR019558
maker-112735-snap-gene-0.6-mRNA-1	IPR000058,IPR002653
maker-159-augustus-gene-0.21-mRNA-1	IPR003599,IPR007110,IPR013151,IPR027115
snap_masked-16-processed-gene-2.21-mRNA-1	IPR008893,IPR031275
maker-29-snap-gene-101.29-mRNA-1	IPR003598,IPR003599,IPR003961,IPR007110,IPR013098
maker-56-snap-gene-5.31-mRNA-1	IPR001064,IPR033059
snap_masked-281-processed-gene-2.37-mRNA-1	IPR005061
snap_masked-153-processed-gene-95.5-mRNA-1	IPR000539,IPR015526,IPR017981
maker-0start-snap-gene-496.4-mRNA-1	IPR027975
maker-25-snap-gene-96.6-mRNA-1	IPR001190,IPR001695,IPR017448
maker-1-augustus-gene-36.6-mRNA-1	IPR020519,IPR022049
snap_masked-220-processed-gene-6.19-mRNA-1	IPR001806
snap_masked-30-processed-gene-15.13-mRNA-1	IPR030379,IPR030645
maker-38-augustus-gene-0.1-mRNA-1	IPR000301,IPR018499
maker-151-augustus-gene-4.0-mRNA-1	IPR000210,IPR013087
maker-112151-augustus-gene-0.6-mRNA-1	IPR001111,IPR001839,IPR015615
maker-2-augustus-gene-28.6-mRNA-1	IPR015633,IPR015635,IPR032198
snap_masked-249638-processed-gene-0.3-mRNA-1	IPR021819,IPR040185
maker-322-snap-gene-9.11-mRNA-1	IPR026315
maker-295-augustus-gene-39.4-mRNA-1	IPR026716
snap_masked-172-processed-gene-8.12-mRNA-1	IPR022613
maker-84-snap-gene-3.7-mRNA-1	IPR006043,IPR029957
maker-25-augustus-gene-9.4-mRNA-1	IPR000717,IPR027512
maker-67-augustus-gene-8.3-mRNA-1	IPR000795,IPR004160,IPR004161
maker-16-augustus-gene-24.0-mRNA-1	IPR018307,IPR024224,IPR037516
maker-32-augustus-gene-89.19-mRNA-1	IPR000198,IPR000980,IPR032498
snap_masked-323-processed-gene-84.10-mRNA-1	IPR000953,IPR001753,IPR023780
maker-124-snap-gene-0.6-mRNA-1	IPR008795
snap_masked-71-processed-gene-6.11-mRNA-1	IPR004092
maker-17-snap-gene-50.8-mRNA-1	IPR001464,IPR002388,IPR018502
maker-146-augustus-gene-5.1-mRNA-1	IPR031394
maker-58-snap-gene-3.4-mRNA-1	IPR007315
maker-323-augustus-gene-101.15-mRNA-1	IPR030502
snap_masked-32-processed-gene-191.4-mRNA-1	IPR000313,IPR021567
maker-138-snap-gene-1.36-mRNA-1	IPR024317,IPR026983,IPR030443
maker-268-augustus-gene-3.17-mRNA-1	IPR005016,IPR029557
augustus_masked-107598-processed-gene-0.1-mRNA-1	IPR000276,IPR000929,IPR017452
augustus_masked-2-processed-gene-58.2-mRNA-1	IPR009071,IPR029551
maker-0start-snap-gene-495.53-mRNA-1	IPR003937,IPR003948,IPR005821,IPR028325
snap_masked-208-processed-gene-7.49-mRNA-1	IPR001609,IPR028558
maker-113036-snap-gene-0.7-mRNA-1	IPR005797,IPR005798
augustus_masked-2-processed-gene-239.1-mRNA-1	IPR011417,IPR013809
maker-18-snap-gene-57.11-mRNA-1	IPR040626
augustus_masked-343-processed-gene-16.0-mRNA-1	IPR001114
maker-243-augustus-gene-2.3-mRNA-1	IPR001394,IPR028889,IPR040142
maker-418-augustus-gene-1.8-mRNA-1	IPR000276,IPR000929,IPR002185,IPR017452
maker-47-snap-gene-18.13-mRNA-1	IPR001710,IPR021116
maker-34-snap-gene-3.20-mRNA-1	IPR001007,IPR001846,IPR014853
maker-398-snap-gene-24.6-mRNA-1	IPR001073
augustus_masked-364-processed-gene-0.14-mRNA-1	IPR000219,IPR001849
maker-57-augustus-gene-10.56-mRNA-1	IPR006133,IPR006134,IPR006172,IPR013697,IPR029703
maker-72-augustus-gene-6.15-mRNA-1	IPR000014,IPR013655,IPR022728
maker-459-snap-gene-4.9-mRNA-1	IPR004217,IPR039238
maker-99-augustus-gene-51.2-mRNA-1	IPR018796
augustus_masked-4-processed-gene-83.2-mRNA-1	IPR039219,IPR039220,IPR039477
snap_masked-442-processed-gene-4.8-mRNA-1	IPR003599,IPR007110,IPR013098
maker-323-augustus-gene-109.19-mRNA-1	IPR004203,IPR013288
maker-15-augustus-gene-179.6-mRNA-1	IPR040138
maker-238-snap-gene-28.0-mRNA-1	IPR001394,IPR001607,IPR028889
snap_masked-230-processed-gene-2.16-mRNA-1	IPR000725,IPR017452
snap_masked-58-processed-gene-6.10-mRNA-1	IPR000980,IPR001452
maker-306-augustus-gene-5.53-mRNA-1	IPR002347
maker-86-augustus-gene-0.1-mRNA-1	IPR031793
augustus_masked-295-processed-gene-16.5-mRNA-1	IPR000210,IPR013087
snap_masked-380-processed-gene-27.2-mRNA-1	IPR000095,IPR028754
snap_masked-368-processed-gene-40.2-mRNA-1	IPR000483,IPR001611,IPR031635
maker-472-augustus-gene-12.8-mRNA-1	IPR031821
maker-7-snap-gene-247.0-mRNA-1	IPR025257,IPR039785
maker-323-augustus-gene-51.14-mRNA-1	IPR019334
maker-32-snap-gene-18.1-mRNA-1	IPR001356,IPR001781
snap_masked-371-processed-gene-16.15-mRNA-1	IPR002110,IPR020683
maker-0start-augustus-gene-346.20-mRNA-1	IPR003690
maker-6-augustus-gene-157.2-mRNA-1	IPR042384
augustus_masked-4-processed-gene-193.5-mRNA-1	IPR003306,IPR013309
maker-10-augustus-gene-139.4-mRNA-1	IPR001680,IPR017986,IPR020472
maker-23-snap-gene-20.10-mRNA-1	IPR000010,IPR001713
maker-6-augustus-gene-169.10-mRNA-1	IPR026169,IPR031981
snap_masked-50-processed-gene-7.36-mRNA-1	IPR040303
maker-4-snap-gene-275.2-mRNA-1	IPR000048,IPR001611,IPR003591,IPR025875
maker-150-snap-gene-3.0-mRNA-1	IPR000719
maker-197-snap-gene-19.15-mRNA-1	IPR003903,IPR013809,IPR027318
maker-50-snap-gene-1.24-mRNA-1	IPR001179,IPR023566
maker-8-augustus-gene-64.11-mRNA-1	IPR001452,IPR001660,IPR021090
maker-13-augustus-gene-123.16-mRNA-1	IPR001223,IPR011583
augustus_masked-206-processed-gene-3.2-mRNA-1	IPR006052
snap_masked-16-processed-gene-4.18-mRNA-1	IPR001680,IPR017986,IPR020472,IPR039241
maker-109-augustus-gene-53.18-mRNA-1	IPR029302
maker-231-augustus-gene-20.5-mRNA-1	IPR022764
augustus_masked-367-processed-gene-0.5-mRNA-1	IPR006599,IPR012945,IPR039589
augustus_masked-6-processed-gene-42.4-mRNA-1	IPR000716,IPR019577
maker-67-augustus-gene-10.4-mRNA-1	IPR000591,IPR001478,IPR041489
maker-8-augustus-gene-235.1-mRNA-1	IPR029569,IPR029574
maker-8-augustus-gene-4.0-mRNA-1	IPR000159,IPR000253,IPR001478,IPR002710
maker-280-snap-gene-0.19-mRNA-1	IPR003961,IPR027727
snap_masked-323-processed-gene-51.18-mRNA-1	IPR002948,IPR004841
augustus_masked-435-processed-gene-3.30-mRNA-1	IPR007128,IPR018108
snap_masked-114-processed-gene-10.14-mRNA-1	IPR027707
maker-274-snap-gene-1.5-mRNA-1	IPR026307,IPR031435,IPR031436,IPR031437
maker-112261-snap-gene-0.12-mRNA-1	IPR010448,IPR030549
snap_masked-100435-processed-gene-0.1-mRNA-1	IPR001870,IPR003877,IPR003879,IPR006574
maker-8-augustus-gene-283.0-mRNA-1	IPR007239
maker-58-snap-gene-8.43-mRNA-1	IPR000504,IPR040434,IPR041085
maker-4-snap-gene-196.3-mRNA-1	IPR018996,IPR034997
augustus_masked-1-processed-gene-314.1-mRNA-1	IPR006201,IPR006202
snap_masked-326-processed-gene-4.5-mRNA-1	IPR000436,IPR015104
maker-372-augustus-gene-2.1-mRNA-1	IPR001320,IPR001508,IPR001828,IPR018882,IPR019594
maker-33-augustus-gene-8.8-mRNA-1	IPR013078
maker-31-augustus-gene-49.8-mRNA-1	IPR026065
maker-181-augustus-gene-1.9-mRNA-1	IPR007036
maker-12-snap-gene-37.28-mRNA-1	IPR000504,IPR002344,IPR006630,IPR014886
augustus_masked-148-processed-gene-1.15-mRNA-1	IPR001111,IPR001839,IPR015615
maker-32-snap-gene-25.4-mRNA-1	IPR000413,IPR002035,IPR013517,IPR013519,IPR013649
snap_masked-59-processed-gene-51.4-mRNA-1	IPR000014,IPR013767,IPR039091,IPR039092
maker-86-augustus-gene-5.17-mRNA-1	IPR001254,IPR001314
maker-228-snap-gene-2.13-mRNA-1	IPR020058
maker-8-snap-gene-267.4-mRNA-1	IPR000850
maker-52-snap-gene-6.16-mRNA-1	IPR001680,IPR017986
maker-295-snap-gene-43.19-mRNA-1	IPR004240
maker-15-augustus-gene-40.9-mRNA-1	IPR019559
maker-15-augustus-gene-146.17-mRNA-1	IPR001214,IPR002893
snap_masked-441-processed-gene-2.30-mRNA-1	IPR008428
maker-114-augustus-gene-3.26-mRNA-1	IPR006689
maker-95-snap-gene-6.16-mRNA-1	IPR026082
maker-16-augustus-gene-104.19-mRNA-1	IPR030960
snap_masked-112979-processed-gene-0.11-mRNA-1	IPR000235,IPR023798
augustus_masked-8-processed-gene-255.9-mRNA-1	IPR000217,IPR003008,IPR004057,IPR018316
augustus_masked-245601-processed-gene-0.2-mRNA-1	IPR010795,IPR017046
snap_masked-131-processed-gene-1.0-mRNA-1	IPR008937
maker-106-snap-gene-10.2-mRNA-1	IPR001128,IPR002401
augustus_masked-0start-processed-gene-499.13-mRNA-1	IPR002018
snap_masked-238-processed-gene-31.18-mRNA-1	IPR000008
maker-15-augustus-gene-201.0-mRNA-1	IPR003029,IPR006641,IPR018974,IPR022967,IPR032639,IPR041692
snap_masked-444-processed-gene-5.31-mRNA-1	IPR001930,IPR014782,IPR024571
snap_masked-22-processed-gene-40.32-mRNA-1	IPR005468,IPR005469
augustus_masked-0start-processed-gene-167.5-mRNA-1	IPR002515,IPR013681
maker-171-augustus-gene-11.2-mRNA-1	IPR002716
maker-207-snap-gene-7.37-mRNA-1	IPR001478,IPR001940,IPR041489
maker-16-augustus-gene-97.2-mRNA-1	IPR000594,IPR014929,IPR030468
maker-245245-snap-gene-0.4-mRNA-1	IPR000413,IPR013517,IPR013519
maker-428-snap-gene-2.7-mRNA-1	IPR000217,IPR002454,IPR003008,IPR018316
maker-4-augustus-gene-338.23-mRNA-1	IPR033537
maker-32-snap-gene-219.6-mRNA-1	IPR009543,IPR015412,IPR026847,IPR031642,IPR031645,IPR031646
maker-9-augustus-gene-63.1-mRNA-1	IPR001683,IPR030512
maker-103609-snap-gene-0.0-mRNA-1	IPR000742,IPR001791,IPR001881,IPR033189
maker-4-augustus-gene-316.11-mRNA-1	IPR001930,IPR014782,IPR015211
maker-28-snap-gene-28.0-mRNA-1	IPR001296
augustus_masked-27-processed-gene-51.9-mRNA-1	IPR000162,IPR000337,IPR001234,IPR001828,IPR011500,IPR017978
maker-185-augustus-gene-1.2-mRNA-1	IPR002073,IPR003018,IPR003607,IPR023088
maker-4-augustus-gene-52.10-mRNA-1	IPR000990,IPR039099
maker-148-augustus-gene-2.2-mRNA-1	IPR019358
snap_masked-250446-processed-gene-0.4-mRNA-1	IPR003107
maker-153-augustus-gene-81.7-mRNA-1	IPR007863,IPR011765,IPR013578
maker-0start-augustus-gene-484.1-mRNA-1	IPR009828,IPR039789
maker-112856-snap-gene-0.30-mRNA-1	IPR027985
maker-5-augustus-gene-5.0-mRNA-1	IPR001063,IPR005721
maker-99-augustus-gene-26.0-mRNA-1	IPR000812,IPR011665,IPR013150,IPR013763
maker-39-snap-gene-39.3-mRNA-1	IPR028110
