maker-22-augustus-gene-57.1-mRNA-1	PR01405
maker-7-snap-gene-112.1-mRNA-1	PR00008
maker-10-augustus-gene-43.7-mRNA-1	PR00320
maker-46-augustus-gene-6.15-mRNA-1	PR00258
maker-238-snap-gene-48.1-mRNA-1	PR00193
maker-13-augustus-gene-29.6-mRNA-1	PR01301
snap_masked-358-processed-gene-3.4-mRNA-1	PR01349
maker-113075-snap-gene-0.0-mRNA-1	PR01415
maker-112977-snap-gene-0.9-mRNA-1	PR00421
augustus_masked-239-processed-gene-0.23-mRNA-1	PR00328
maker-400-augustus-gene-0.14-mRNA-1	PR00661,PR00935
maker-12-augustus-gene-76.52-mRNA-1	PR00447
maker-158-augustus-gene-45.13-mRNA-1	PR01717
augustus_masked-295-processed-gene-30.4-mRNA-1	PR00237,PR00241,PR00636
maker-99-snap-gene-106.1-mRNA-1	PR01415
maker-220-snap-gene-8.9-mRNA-1	PR01415
augustus_masked-33-processed-gene-5.7-mRNA-1	PR00169,PR01491,PR01496,PR01513
augustus_masked-8-processed-gene-154.9-mRNA-1	PR00171
maker-27-augustus-gene-84.8-mRNA-1	PR01609,PR01610
augustus_masked-14-processed-gene-55.9-mRNA-1	PR02051,PR02052
augustus_masked-15-processed-gene-47.1-mRNA-1	PR01260
augustus_masked-441-processed-gene-2.16-mRNA-1	PR01537
maker-213-snap-gene-2.6-mRNA-1	PR00625
maker-13-snap-gene-21.1-mRNA-1	PR00010
snap_masked-57-processed-gene-10.24-mRNA-1	PR00011
maker-252065-snap-gene-0.5-mRNA-1	PR01301
augustus_masked-277-processed-gene-0.20-mRNA-1	PR01231,PR01232
maker-16-augustus-gene-15.6-mRNA-1	PR01349
augustus_masked-272-processed-gene-15.21-mRNA-1	PR01217
maker-80-augustus-gene-18.15-mRNA-1	PR00454
augustus_masked-377-processed-gene-32.2-mRNA-1	PR00935
maker-482-augustus-gene-17.0-mRNA-1	PR00237,PR00366,PR00571
augustus_masked-25-processed-gene-11.1-mRNA-1	PR00237,PR01018
augustus_masked-109-processed-gene-24.8-mRNA-1	PR00006
snap_masked-398-processed-gene-3.8-mRNA-1	PR00219
maker-38-snap-gene-7.14-mRNA-1	PR00191
maker-11-augustus-gene-58.8-mRNA-1	PR00080,PR00081
maker-99-augustus-gene-76.1-mRNA-1	PR00385,PR00463
maker-15-snap-gene-100.14-mRNA-1	PR00622
maker-326-snap-gene-12.2-mRNA-1	PR01217
snap_masked-383-processed-gene-1.5-mRNA-1	PR01265
maker-0start-snap-gene-222.5-mRNA-1	PR00387
maker-238-augustus-gene-27.3-mRNA-1	PR00304
maker-62-augustus-gene-4.0-mRNA-1	PR00853
snap_masked-442-processed-gene-4.11-mRNA-1	PR00014
maker-11-snap-gene-81.7-mRNA-1	PR00503
maker-158-augustus-gene-10.13-mRNA-1	PR00297
snap_masked-265-processed-gene-0.54-mRNA-1	PR00843
augustus_masked-30-processed-gene-4.3-mRNA-1	PR01407
snap_masked-168-processed-gene-28.19-mRNA-1	PR01415
snap_masked-384-processed-gene-0.2-mRNA-1	PR00511
maker-111635-augustus-gene-1.10-mRNA-1	PR00177
maker-0start-snap-gene-157.3-mRNA-1	PR02071
maker-323-augustus-gene-103.27-mRNA-1	PR00398,PR00545
snap_masked-15-processed-gene-176.20-mRNA-1	PR00169,PR01494
maker-41-snap-gene-17.7-mRNA-1	PR01415
augustus_masked-0start-processed-gene-527.2-mRNA-1	PR00453
augustus_masked-6-processed-gene-118.2-mRNA-1	PR00237,PR00857,PR01149
snap_masked-58-processed-gene-8.44-mRNA-1	PR00633
snap_masked-38-processed-gene-11.12-mRNA-1	PR00237
augustus_masked-46-processed-gene-7.11-mRNA-1	PR00625
snap_masked-139-processed-gene-0.5-mRNA-1	PR00791
maker-151-augustus-gene-9.2-mRNA-1	PR00249
maker-70-augustus-gene-6.7-mRNA-1	PR00114
maker-23-snap-gene-29.11-mRNA-1	PR00762,PR01112
maker-29-augustus-gene-79.2-mRNA-1	PR00053
maker-164-augustus-gene-0.9-mRNA-1	PR00024,PR00025
maker-330-augustus-gene-1.18-mRNA-1	PR02064
augustus_masked-28-processed-gene-61.14-mRNA-1	PR00368,PR00411
maker-9-augustus-gene-8.10-mRNA-1	PR01772
maker-229-snap-gene-5.26-mRNA-1	PR00205
maker-153-augustus-gene-109.11-mRNA-1	PR00380
augustus_masked-32-processed-gene-69.5-mRNA-1	PR00237,PR00512,PR01101
maker-54-snap-gene-75.4-mRNA-1	PR00041
maker-9-augustus-gene-47.40-mRNA-1	PR00475
augustus_masked-79-processed-gene-29.6-mRNA-1	PR00237,PR01157
maker-54-augustus-gene-171.1-mRNA-1	PR00206
augustus_masked-67-processed-gene-5.1-mRNA-1	PR00237,PR01855
maker-7-augustus-gene-5.6-mRNA-1	PR01504
maker-290-snap-gene-1.31-mRNA-1	PR00436,PR00437
maker-25-snap-gene-98.8-mRNA-1	PR00024
snap_masked-72-processed-gene-2.13-mRNA-1	PR00007
maker-394-snap-gene-4.0-mRNA-1	PR00360
maker-6-augustus-gene-339.21-mRNA-1	PR00024
augustus_masked-249311-processed-gene-0.0-mRNA-1	PR01415
snap_masked-1-processed-gene-320.13-mRNA-1	PR01790,PR01791
maker-183-augustus-gene-0.14-mRNA-1	PR01349
snap_masked-28-processed-gene-65.5-mRNA-1	PR00153
maker-13-augustus-gene-149.1-mRNA-1	PR00776
maker-1-snap-gene-17.0-mRNA-1	PR00792,PR01815,PR01817
maker-112094-augustus-gene-0.6-mRNA-1	PR01638
snap_masked-10-processed-gene-71.4-mRNA-1	PR00252,PR00254
augustus_masked-257228-processed-gene-0.0-mRNA-1	PR00109
snap_masked-247317-processed-gene-0.5-mRNA-1	PR01320
maker-158-augustus-gene-47.2-mRNA-1	PR00452,PR01217
snap_masked-231-processed-gene-18.7-mRNA-1	PR00452
augustus_masked-85-processed-gene-2.3-mRNA-1	PR00053,PR01218
maker-453-augustus-gene-1.15-mRNA-1	PR00027
maker-12-augustus-gene-72.41-mRNA-1	PR00961
maker-15-snap-gene-117.10-mRNA-1	PR00024,PR00031
maker-19-augustus-gene-9.13-mRNA-1	PR00138
maker-4-snap-gene-103.4-mRNA-1	PR00191
augustus_masked-172-processed-gene-9.42-mRNA-1	PR00881,PR00882
maker-49-snap-gene-24.2-mRNA-1	PR00193
maker-323-augustus-gene-102.17-mRNA-1	PR00837
snap_masked-150-processed-gene-1.27-mRNA-1	PR00391
maker-29-snap-gene-105.5-mRNA-1	PR00190
snap_masked-3-processed-gene-92.1-mRNA-1	PR00237,PR00516
maker-192535-augustus-gene-0.3-mRNA-1	PR00633
augustus_masked-105-processed-gene-3.7-mRNA-1	PR01092
maker-4-snap-gene-100.1-mRNA-1	PR01349,PR01842
maker-290-augustus-gene-1.26-mRNA-1	PR00009
maker-4-augustus-gene-216.0-mRNA-1	PR00700,PR01778
augustus_masked-241-processed-gene-3.23-mRNA-1	PR00206
maker-189-augustus-gene-1.13-mRNA-1	PR00452,PR00499
maker-281-snap-gene-3.33-mRNA-1	PR00982
maker-13-snap-gene-29.0-mRNA-1	PR01301
maker-19-augustus-gene-9.11-mRNA-1	PR00138
maker-8-augustus-gene-97.5-mRNA-1	PR00466
maker-205-snap-gene-11.5-mRNA-1	PR01950,PR01951
augustus_masked-459-processed-gene-4.45-mRNA-1	PR01407
augustus_masked-7-processed-gene-181.4-mRNA-1	PR00450
maker-398-snap-gene-20.4-mRNA-1	PR00138
augustus_masked-142-processed-gene-16.9-mRNA-1	PR00261
snap_masked-1-processed-gene-287.13-mRNA-1	PR00785
maker-86-snap-gene-1.5-mRNA-1	PR00053
augustus_masked-398-processed-gene-4.16-mRNA-1	PR01972
maker-99-augustus-gene-50.6-mRNA-1	PR00452
maker-85-augustus-gene-1.0-mRNA-1	PR00895
augustus_masked-32-processed-gene-50.0-mRNA-1	PR00449
maker-56-snap-gene-7.10-mRNA-1	PR00717
maker-66-snap-gene-1.8-mRNA-1	PR00080,PR00081
maker-1-augustus-gene-42.6-mRNA-1	PR00757
maker-419-augustus-gene-0.35-mRNA-1	PR00237,PR00428,PR00582,PR01788
augustus_masked-172-processed-gene-17.0-mRNA-1	PR00988
maker-126-snap-gene-3.22-mRNA-1	PR01415
augustus_masked-216-processed-gene-1.19-mRNA-1	PR01908,PR01909
maker-323-snap-gene-49.7-mRNA-1	PR00441
maker-326-snap-gene-13.32-mRNA-1	PR00405
maker-164-snap-gene-0.2-mRNA-1	PR00024,PR00031
maker-5-augustus-gene-4.0-mRNA-1	PR00193
snap_masked-45-processed-gene-3.7-mRNA-1	PR00452,PR01887
augustus_masked-157-processed-gene-0.20-mRNA-1	PR00185
maker-429-augustus-gene-0.8-mRNA-1	PR00024,PR00031
maker-112856-augustus-gene-0.2-mRNA-1	PR00371,PR00406
snap_masked-49-processed-gene-44.6-mRNA-1	PR01166
maker-1-augustus-gene-293.13-mRNA-1	PR00749
snap_masked-8-processed-gene-111.9-mRNA-1	PR00661,PR00935
augustus_masked-323-processed-gene-63.22-mRNA-1	PR00722
snap_masked-330-processed-gene-1.11-mRNA-1	PR00625
maker-3-augustus-gene-83.12-mRNA-1	PR00237,PR01417
maker-229-snap-gene-10.23-mRNA-1	PR00403
maker-113257-augustus-gene-0.21-mRNA-1	PR00024
maker-59-augustus-gene-232.16-mRNA-1	PR00700
augustus_masked-4-processed-gene-290.1-mRNA-1	PR01764
maker-8-augustus-gene-84.2-mRNA-1	PR01301
augustus_masked-1-processed-gene-282.0-mRNA-1	PR01536,PR01537,PR01538
maker-113079-snap-gene-0.11-mRNA-1	PR00700
maker-171-augustus-gene-6.45-mRNA-1	PR00457
maker-275-augustus-gene-6.13-mRNA-1	PR00088
maker-25-augustus-gene-89.12-mRNA-1	PR00320
maker-4-augustus-gene-256.14-mRNA-1	PR00700
maker-31-snap-gene-55.6-mRNA-1	PR01040
maker-209-augustus-gene-4.13-mRNA-1	PR00723
snap_masked-49-processed-gene-14.0-mRNA-1	PR01368
maker-9-snap-gene-10.11-mRNA-1	PR01857
augustus_masked-389-processed-gene-0.24-mRNA-1	PR01407
maker-33-snap-gene-17.15-mRNA-1	PR01349,PR01891
maker-34-augustus-gene-9.22-mRNA-1	PR01764
maker-3-augustus-gene-81.6-mRNA-1	PR00633
augustus_masked-84-processed-gene-1.9-mRNA-1	PR01078
snap_masked-18-processed-gene-18.26-mRNA-1	PR00404
maker-49-augustus-gene-5.0-mRNA-1	PR01802
maker-21-augustus-gene-8.3-mRNA-1	PR00081
maker-17-augustus-gene-1.1-mRNA-1	PR00452,PR00499
maker-114-augustus-gene-3.23-mRNA-1	PR00380
maker-2-snap-gene-260.5-mRNA-1	PR00252,PR00253
maker-238-augustus-gene-18.1-mRNA-1	PR01857
augustus_masked-12-processed-gene-172.10-mRNA-1	PR00237,PR00645,PR00657
maker-471-augustus-gene-1.0-mRNA-1	PR00173
augustus_masked-472-processed-gene-6.29-mRNA-1	PR00895
maker-275-snap-gene-7.37-mRNA-1	PR00130
snap_masked-236-processed-gene-13.1-mRNA-1	PR00237,PR00245
maker-43-snap-gene-33.0-mRNA-1	PR00259
augustus_masked-408-processed-gene-1.1-mRNA-1	PR00167
augustus_masked-112975-processed-gene-0.0-mRNA-1	PR00024,PR00031
maker-370-snap-gene-3.39-mRNA-1	PR00009
maker-47-augustus-gene-85.27-mRNA-1	PR00067
augustus_masked-230-processed-gene-1.1-mRNA-1	PR00449
maker-17-augustus-gene-13.9-mRNA-1	PR00047
augustus_masked-254-processed-gene-2.15-mRNA-1	PR02027
augustus_masked-47-processed-gene-55.3-mRNA-1	PR00625
augustus_masked-112890-processed-gene-0.1-mRNA-1	PR00315
maker-34-augustus-gene-13.3-mRNA-1	PR00276,PR02002,PR02006
maker-84-augustus-gene-2.0-mRNA-1	PR00932
maker-189-augustus-gene-1.16-mRNA-1	PR00193
maker-6-augustus-gene-176.4-mRNA-1	PR00722
maker-110543-augustus-gene-0.4-mRNA-1	PR00153
maker-282-augustus-gene-2.1-mRNA-1	PR00153
maker-12-snap-gene-143.9-mRNA-1	PR00249,PR00490
augustus_masked-64-processed-gene-7.10-mRNA-1	PR00380
maker-208-augustus-gene-6.35-mRNA-1	PR00153
maker-29-augustus-gene-63.7-mRNA-1	PR00023
maker-8-augustus-gene-149.0-mRNA-1	PR00315
snap_masked-471-processed-gene-2.8-mRNA-1	PR00401
maker-34-augustus-gene-20.22-mRNA-1	PR00169,PR01459,PR01460
augustus_masked-6-processed-gene-357.3-mRNA-1	PR02089
maker-29-snap-gene-92.20-mRNA-1	PR00502,PR01403
snap_masked-70-processed-gene-8.8-mRNA-1	PR00398
augustus_masked-10-processed-gene-8.2-mRNA-1	PR00878
maker-54-augustus-gene-51.12-mRNA-1	PR00753
maker-18-snap-gene-62.26-mRNA-1	PR00180
maker-4-augustus-gene-238.6-mRNA-1	PR01415
snap_masked-139-processed-gene-0.4-mRNA-1	PR00791
snap_masked-246-processed-gene-2.7-mRNA-1	PR00452
maker-238-augustus-gene-46.7-mRNA-1	PR00401
maker-39-augustus-gene-124.14-mRNA-1	PR01130
augustus_masked-371-processed-gene-1.1-mRNA-1	PR00237
maker-112369-snap-gene-0.23-mRNA-1	PR02105
maker-246173-augustus-gene-0.5-mRNA-1	PR00170
maker-197-snap-gene-21.27-mRNA-1	PR00177
maker-47-augustus-gene-70.12-mRNA-1	PR00019,PR00237,PR00373
maker-48-snap-gene-1.5-mRNA-1	PR00450
augustus_masked-0start-processed-gene-250.8-mRNA-1	PR00169,PR01494
snap_masked-54-processed-gene-64.2-mRNA-1	PR00007
maker-168-augustus-gene-5.2-mRNA-1	PR00625
maker-13-augustus-gene-124.12-mRNA-1	PR00093
augustus_masked-64-processed-gene-20.7-mRNA-1	PR00683
maker-6-augustus-gene-36.15-mRNA-1	PR00765
snap_masked-31-processed-gene-7.9-mRNA-1	PR00818
augustus_masked-7-processed-gene-233.14-mRNA-1	PR00326
maker-48-snap-gene-26.5-mRNA-1	PR01415
maker-25-snap-gene-117.14-mRNA-1	PR00237
augustus_masked-50-processed-gene-4.21-mRNA-1	PR00053
augustus_masked-29-processed-gene-60.11-mRNA-1	PR00237
maker-72-snap-gene-11.3-mRNA-1	PR00178
maker-15-augustus-gene-205.7-mRNA-1	PR00008
maker-62-augustus-gene-55.4-mRNA-1	PR00237
maker-0start-snap-gene-222.4-mRNA-1	PR00625
maker-6-augustus-gene-15.1-mRNA-1	PR02073
maker-444-augustus-gene-5.3-mRNA-1	PR00705
maker-4-augustus-gene-153.2-mRNA-1	PR01857
maker-95-snap-gene-3.45-mRNA-1	PR00723
augustus_masked-51-processed-gene-5.3-mRNA-1	PR00237
maker-397-snap-gene-1.1-mRNA-1	PR00258
snap_masked-441-processed-gene-2.21-mRNA-1	PR01802
augustus_masked-6-processed-gene-180.3-mRNA-1	PR00252,PR00253,PR01079,PR01615
maker-241-snap-gene-3.14-mRNA-1	PR01292
snap_masked-482-processed-gene-0.11-mRNA-1	PR00205
snap_masked-113-processed-gene-40.6-mRNA-1	PR01185
maker-0start-augustus-gene-200.5-mRNA-1	PR00449
augustus_masked-330-processed-gene-1.27-mRNA-1	PR00452,PR00499
maker-113257-snap-gene-0.7-mRNA-1	PR00024
maker-9-augustus-gene-1.18-mRNA-1	PR00501
maker-49-snap-gene-26.0-mRNA-1	PR01602,PR01792
maker-114-augustus-gene-2.28-mRNA-1	PR00167,PR01630,PR01634
maker-422-augustus-gene-30.13-mRNA-1	PR00178
snap_masked-0start-processed-gene-443.3-mRNA-1	PR00022
snap_masked-112077-processed-gene-0.22-mRNA-1	PR00023
maker-32-snap-gene-26.10-mRNA-1	PR01185
maker-32-augustus-gene-136.4-mRNA-1	PR00169,PR01491,PR01494
maker-126-augustus-gene-1.26-mRNA-1	PR01573
maker-283-augustus-gene-3.12-mRNA-1	PR00740
maker-23-augustus-gene-26.4-mRNA-1	PR00722
maker-15-snap-gene-91.4-mRNA-1	PR00704
snap_masked-482-processed-gene-0.14-mRNA-1	PR00205
augustus_masked-25-processed-gene-35.8-mRNA-1	PR00237,PR00561,PR01103
maker-6-augustus-gene-299.0-mRNA-1	PR00449
maker-99-augustus-gene-116.5-mRNA-1	PR00907
maker-6-augustus-gene-118.6-mRNA-1	PR00385,PR00463
snap_masked-46-processed-gene-6.22-mRNA-1	PR02008
maker-0start-snap-gene-148.5-mRNA-1	PR01657,PR01660
augustus_masked-6-processed-gene-207.4-mRNA-1	PR01537
maker-112033-snap-gene-0.13-mRNA-1	PR00193
maker-113253-snap-gene-0.11-mRNA-1	PR00237,PR02108
maker-61-snap-gene-3.14-mRNA-1	PR00342
maker-35-snap-gene-1.13-mRNA-1	PR00355
augustus_masked-158-processed-gene-26.1-mRNA-1	PR00489
maker-23-snap-gene-25.37-mRNA-1	PR01222
maker-59-augustus-gene-282.19-mRNA-1	PR00718
maker-268-augustus-gene-17.5-mRNA-1	PR00119
augustus_masked-98423-processed-gene-0.3-mRNA-1	PR00237,PR00245
maker-8-augustus-gene-114.3-mRNA-1	PR00741
maker-252109-augustus-gene-0.0-mRNA-1	PR00178
snap_masked-372-processed-gene-10.23-mRNA-1	PR00669
maker-153-snap-gene-16.11-mRNA-1	PR00170
maker-488-augustus-gene-1.10-mRNA-1	PR00390
maker-18-augustus-gene-80.5-mRNA-1	PR00452,PR01887
maker-4-snap-gene-233.15-mRNA-1	PR00837,PR00838
maker-266-snap-gene-0.5-mRNA-1	PR00686
maker-12-snap-gene-65.8-mRNA-1	PR01463,PR01470
maker-230-snap-gene-2.28-mRNA-1	PR00814
snap_masked-112766-processed-gene-0.5-mRNA-1	PR00237,PR00242
maker-16-snap-gene-30.12-mRNA-1	PR00619
maker-59-augustus-gene-242.15-mRNA-1	PR00145,PR00149
augustus_masked-25-processed-gene-50.8-mRNA-1	PR00237,PR01103
maker-17-augustus-gene-64.3-mRNA-1	PR00756
maker-19-augustus-gene-75.8-mRNA-1	PR00072
snap_masked-100320-processed-gene-0.0-mRNA-1	PR00245
augustus_masked-23-processed-gene-26.12-mRNA-1	PR00926
maker-85-augustus-gene-12.9-mRNA-1	PR00710,PR00712
augustus_masked-30-processed-gene-17.15-mRNA-1	PR00237,PR00647
augustus_masked-68-processed-gene-36.9-mRNA-1	PR01089
maker-282-snap-gene-0.23-mRNA-1	PR00414
snap_masked-9-processed-gene-53.6-mRNA-1	PR00024,PR00031
maker-113227-augustus-gene-0.4-mRNA-1	PR00262
augustus_masked-86152-processed-gene-0.0-mRNA-1	PR00237,PR00245
maker-291-snap-gene-14.7-mRNA-1	PR01639
maker-245206-augustus-gene-0.10-mRNA-1	PR01360
augustus_masked-39-processed-gene-123.15-mRNA-1	PR00205
snap_masked-471-processed-gene-9.19-mRNA-1	PR00237,PR01428,PR01430
augustus_masked-59-processed-gene-177.1-mRNA-1	PR02008,PR02011
augustus_masked-2-processed-gene-235.2-mRNA-1	PR00019
augustus_masked-207-processed-gene-7.14-mRNA-1	PR00023
maker-11-augustus-gene-48.3-mRNA-1	PR00053
maker-323-augustus-gene-38.16-mRNA-1	PR01081
augustus_masked-113-processed-gene-6.14-mRNA-1	PR00237,PR00896
snap_masked-113246-processed-gene-0.0-mRNA-1	PR00245
snap_masked-31-processed-gene-43.5-mRNA-1	PR00176
maker-142-augustus-gene-28.6-mRNA-1	PR00449
maker-306-augustus-gene-1.5-mRNA-1	PR00504
maker-67-augustus-gene-1.1-mRNA-1	PR00328
augustus_masked-59-processed-gene-37.15-mRNA-1	PR00237,PR00663,PR01418
maker-220-snap-gene-54.6-mRNA-1	PR00214
snap_masked-4-processed-gene-65.5-mRNA-1	PR00248,PR00593,PR01058
snap_masked-172-processed-gene-4.6-mRNA-1	PR00047
maker-93-snap-gene-1.4-mRNA-1	PR01963
maker-323-snap-gene-20.6-mRNA-1	PR00886
maker-0start-augustus-gene-61.5-mRNA-1	PR00011
augustus_masked-106-processed-gene-16.6-mRNA-1	PR00967
maker-62-augustus-gene-56.18-mRNA-1	PR01971
maker-58-augustus-gene-2.19-mRNA-1	PR00925
maker-2-augustus-gene-40.14-mRNA-1	PR00305
maker-113159-augustus-gene-0.2-mRNA-1	PR01807
maker-39-augustus-gene-60.7-mRNA-1	PR00205
maker-12-augustus-gene-150.11-mRNA-1	PR00237
snap_masked-22-processed-gene-40.33-mRNA-1	PR00709
maker-59-snap-gene-47.2-mRNA-1	PR00047,PR00398,PR01284,PR01286
maker-50-augustus-gene-8.7-mRNA-1	PR00013,PR00138
snap_masked-106-processed-gene-17.7-mRNA-1	PR00967
augustus_masked-2-processed-gene-32.3-mRNA-1	PR00169,PR01491,PR01494
maker-10-augustus-gene-71.15-mRNA-1	PR00252,PR00254
augustus_masked-47-processed-gene-11.6-mRNA-1	PR00503
maker-447-snap-gene-0.47-mRNA-1	PR00074,PR00258
snap_masked-189-processed-gene-1.46-mRNA-1	PR00261
maker-28-snap-gene-9.13-mRNA-1	PR00119,PR00120
maker-3-augustus-gene-14.7-mRNA-1	PR00109,PR01832,PR01833
augustus_masked-76-processed-gene-23.2-mRNA-1	PR00177
snap_masked-326-processed-gene-5.8-mRNA-1	PR00008,PR00360
maker-11-augustus-gene-77.5-mRNA-1	PR01084,PR01087
maker-9-augustus-gene-77.2-mRNA-1	PR00398
augustus_masked-111735-processed-gene-0.4-mRNA-1	PR00237,PR00245
maker-268-augustus-gene-40.3-mRNA-1	PR01161,PR01163
maker-68-augustus-gene-13.6-mRNA-1	PR02084
maker-14-snap-gene-54.0-mRNA-1	PR01433
maker-8-augustus-gene-231.2-mRNA-1	PR00109
snap_masked-322-processed-gene-5.22-mRNA-1	PR00261
maker-54-augustus-gene-68.22-mRNA-1	PR00452
augustus_masked-68-processed-gene-64.12-mRNA-1	PR00053
maker-64-snap-gene-20.12-mRNA-1	PR01130
augustus_masked-112846-processed-gene-0.9-mRNA-1	PR00125
maker-4-augustus-gene-4.11-mRNA-1	PR00320
maker-150-augustus-gene-4.9-mRNA-1	PR01415
augustus_masked-440-processed-gene-0.58-mRNA-1	PR00116
snap_masked-241896-processed-gene-0.2-mRNA-1	PR01270
snap_masked-39-processed-gene-8.4-mRNA-1	PR00989
maker-1-snap-gene-22.6-mRNA-1	PR00722
maker-55-augustus-gene-21.16-mRNA-1	PR00449
maker-25-augustus-gene-84.6-mRNA-1	PR00190
snap_masked-241927-processed-gene-0.2-mRNA-1	PR01270
snap_masked-6-processed-gene-161.18-mRNA-1	PR00024
maker-23-snap-gene-32.2-mRNA-1	PR00258
snap_masked-58-processed-gene-6.9-mRNA-1	PR00109
augustus_masked-197-processed-gene-16.18-mRNA-1	PR00310
snap_masked-56-processed-gene-14.9-mRNA-1	PR00360,PR00399
augustus_masked-100-processed-gene-0.5-mRNA-1	PR00169,PR01491,PR01496,PR01509
snap_masked-14-processed-gene-116.1-mRNA-1	PR00237
maker-47-augustus-gene-84.27-mRNA-1	PR00363
snap_masked-110404-processed-gene-0.1-mRNA-1	PR01434
maker-171-snap-gene-7.7-mRNA-1	PR00677
augustus_masked-32-processed-gene-129.11-mRNA-1	PR01415
maker-322-snap-gene-0.5-mRNA-1	PR00024
maker-153-augustus-gene-20.1-mRNA-1	PR00653
maker-54-snap-gene-88.1-mRNA-1	PR00109
snap_masked-14-processed-gene-27.3-mRNA-1	PR00205
maker-251041-augustus-gene-0.7-mRNA-1	PR00193,PR00452
maker-113185-augustus-gene-0.6-mRNA-1	PR00437
maker-15-augustus-gene-96.8-mRNA-1	PR01072
maker-55-snap-gene-8.18-mRNA-1	PR00171
snap_masked-448-processed-gene-2.32-mRNA-1	PR00449
maker-203-snap-gene-4.1-mRNA-1	PR01097,PR01648
snap_masked-189-processed-gene-1.43-mRNA-1	PR00261
augustus_masked-318-processed-gene-19.3-mRNA-1	PR00449
augustus_masked-0start-processed-gene-75.1-mRNA-1	PR00014
augustus_masked-2-processed-gene-177.1-mRNA-1	PR01694
augustus_masked-3-processed-gene-148.0-mRNA-1	PR00205
maker-58-snap-gene-8.35-mRNA-1	PR00405
maker-8-augustus-gene-54.13-mRNA-1	PR00449
maker-13-snap-gene-21.0-mRNA-1	PR00010,PR01452,PR01983,PR01985
maker-23-augustus-gene-29.19-mRNA-1	PR00376
snap_masked-88449-processed-gene-0.2-mRNA-1	PR00237
maker-238-augustus-gene-80.4-mRNA-1	PR00007
maker-54-snap-gene-151.8-mRNA-1	PR00008
maker-18-augustus-gene-133.19-mRNA-1	PR01047
augustus_masked-39-processed-gene-110.5-mRNA-1	PR00805
maker-288-augustus-gene-1.0-mRNA-1	PR01001
maker-142-augustus-gene-32.0-mRNA-1	PR00205
maker-67-augustus-gene-42.2-mRNA-1	PR01210
augustus_masked-59-processed-gene-124.4-mRNA-1	PR00205
maker-25-snap-gene-144.6-mRNA-1	PR00087,PR00467
maker-150-snap-gene-4.15-mRNA-1	PR00249,PR01353
augustus_masked-61-processed-gene-1.18-mRNA-1	PR01263
maker-29-augustus-gene-66.9-mRNA-1	PR00449
maker-207-snap-gene-7.43-mRNA-1	PR00023
maker-3-augustus-gene-118.14-mRNA-1	PR00454
maker-7-augustus-gene-21.0-mRNA-1	PR01248
augustus_masked-13-processed-gene-144.14-mRNA-1	PR00855,PR01788
maker-34-augustus-gene-10.2-mRNA-1	PR01083
snap_masked-8-processed-gene-206.12-mRNA-1	PR00180
maker-0start-augustus-gene-173.11-mRNA-1	PR01301
augustus_masked-328-processed-gene-2.28-mRNA-1	PR00019
maker-126-augustus-gene-13.0-mRNA-1	PR00119,PR00121
snap_masked-70-processed-gene-14.19-mRNA-1	PR00237
maker-0start-augustus-gene-19.10-mRNA-1	PR00421
augustus_masked-16-processed-gene-4.10-mRNA-1	PR00846
maker-111540-snap-gene-0.0-mRNA-1	PR00600
maker-9-augustus-gene-61.1-mRNA-1	PR01764,PR01908
augustus_masked-21-processed-gene-68.3-mRNA-1	PR01537
maker-1-augustus-gene-317.15-mRNA-1	PR01698
maker-56-snap-gene-10.7-mRNA-1	PR00959
augustus_masked-99-processed-gene-96.14-mRNA-1	PR00237,PR00425,PR00994
maker-4-snap-gene-187.6-mRNA-1	PR00752
augustus_masked-1-processed-gene-160.0-mRNA-1	PR00449
maker-399-augustus-gene-4.14-mRNA-1	PR00759
maker-15-snap-gene-1.17-mRNA-1	PR01697
snap_masked-61-processed-gene-0.14-mRNA-1	PR00014
maker-39-snap-gene-119.23-mRNA-1	PR00237,PR00244,PR01025
maker-283-augustus-gene-13.13-mRNA-1	PR00177
augustus_masked-220-processed-gene-45.2-mRNA-1	PR00237,PR01101
augustus_masked-441-processed-gene-2.0-mRNA-1	PR00237,PR01157
snap_masked-8-processed-gene-54.3-mRNA-1	PR00248,PR00593,PR01051
snap_masked-9-processed-gene-17.5-mRNA-1	PR01990
maker-153-augustus-gene-10.0-mRNA-1	PR00147
maker-7-augustus-gene-122.12-mRNA-1	PR00024
maker-377-augustus-gene-32.13-mRNA-1	PR01772
augustus_masked-482-processed-gene-26.0-mRNA-1	PR00888,PR00889
augustus_masked-247318-processed-gene-0.5-mRNA-1	PR01320
maker-203-augustus-gene-9.11-mRNA-1	PR00620
maker-54-snap-gene-19.6-mRNA-1	PR00454
snap_masked-205-processed-gene-13.14-mRNA-1	PR00759
snap_masked-110969-processed-gene-0.3-mRNA-1	PR00237
maker-14-snap-gene-85.7-mRNA-1	PR01868
maker-70-augustus-gene-6.6-mRNA-1	PR00301
maker-17-snap-gene-13.7-mRNA-1	PR00398,PR01282
augustus_masked-16-processed-gene-29.2-mRNA-1	PR00624
snap_masked-208-processed-gene-0.1-mRNA-1	PR00237,PR00245
snap_masked-49-processed-gene-33.14-mRNA-1	PR01415
maker-447-augustus-gene-0.59-mRNA-1	PR01928
maker-436-augustus-gene-1.19-mRNA-1	PR00452
snap_masked-87-processed-gene-11.7-mRNA-1	PR00704
