#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

CR1-X1a_Ucy	LINE	CR1	1453	645	635	210921	18.696715357886	17.1	4.4891822056592	3.8	1.03763684033372	0.5	0.00213091031699505	nd
Wilpoe057	Unknown	Unknown	341	57	57	11656	6.88286719286166	5	1.53084248455721	0.4	0.97540322580643	0	0.000117759211528934	nd
CR1-X1NA_Ucy	LINE	CR1	293	3547	3510	445062	15.0449267742482	14.6	3.24805263087013	1.5	0.992809541142776	0.4	0.0044964095917545	nd
Wilpoe125	LTR	Unknown	592	200	197	101520	14.5568981481512	13.8	2.34490642238097	1.9	3.18350472813313	2	0.00102564474557459	nd
TguERVL2a4_LTR-La_fAlb	LTR	ERV3	736	2	2	338	25.7044378698225	25.2	12.1375739644971	12	2.17899408284022	2.5	3.41477466513209e-06	nd
Wilpoe045	Unknown	Unknown	2025	15	15	9219	25.0648768846916	24.9	7.42269226597244	7.4	10.325881332029	7.9	9.31384841356591e-05	nd
TguLTR13c_fAlb	LTR	ERV1	505	7	7	1365	25.3516483516481	25.1	4.96827838827837	1.9	7.27758241758256	6.6	1.37904361476488e-05	nd
CR1-E5b_Ucy	LINE	CR1	853	9076	8962	3031674	17.9126297221	17.1	4.15354081606904	3.3	1.0512172812773	0.6	0.0306286496098807	nd
Wilpoe146	LTR	Unknown	571	141	139	22545	6.53168773563971	5.8	1.27012641383902	0.5	2.34708361055641	1.9	0.00022776951131776	nd
CR1-J1_Ucy	LINE	CR1	1079	4440	4389	1125902	19.3003980808345	18.8	5.18476501507022	4.3	0.957985064419459	0.4	0.011374856878762	nd
fAlbLTRK10	LTR	ERV2	438	1	1	50	15.3	15.3	0	0	8.69999999999999	8.7	5.05144181232558e-07	nd
Wilpoe026	LINE	RTE	4002	3062	2760	2948961	5.04392523331681	4.7	0.7110970948786	0.4	0.178488660920531	0.1	0.0297930097966349	nd
Wilpoe069	LTR	Unknown	612	165	149	82592	7.2376077586194	6.1	3.18412921348303	2.8	5.18688492832139	4.4	0.000834417364327189	nd
CR1-X3_Ucy	LINE	CR1	410	694	680	150623	19.7920443756971	19.4	4.60316618311866	3.8	1.10038108389811	0.6	0.00152172664019583	nd
Wilpoe012	LTR	ERVL	913	509	407	129931	19.8703996736724	20.2	7.30758248609041	6.1	4.6912276515995	3.8	0.00131267777223455	nd
Wilpoe156	LTR	Unknown	217	189	188	30266	4.36070838564722	4.2	0.467458534328935	0.5	1.21898499966975	1	0.000305773875783692	nd
TguLTR5a-a_Ucy	LTR	ERV3	581	838	764	201705	21.367287375124	21.4	6.34436330284342	5.2	5.15958900374491	4.3	0.00203780214151026	nd
TguLTRL4b-b_Ucy	LTR	ERV3	1117	574	527	219889	19.7775632250836	19.6	6.08745457935381	5.4	2.36803750983473	1.9	0.00222151297734092	nd
Wilpoe127	LTR	Unknown	1359	748	669	307150	9.93264138043795	8.1	1.31318378642343	0.4	2.66283965489235	1.5	0.0031031007053116	nd
Wilpoe047	Unknown	Unknown	1309	366	332	162483	11.9439270569811	11.1	4.42316550039064	3.3	2.781998732175	2.0	0.00164154683998419	nd
Wilpoe055	Unknown	Unknown	671	101	96	45920	5.41828397212507	3.4	1.14148083623673	0.1	1.2338654181184	0.1	0.000463924416043981	nd
Wilpoe085	LTR	Unknown	815	1051	795	399717	17.3895393490902	17.9	6.05366346690199	5.0	6.58534413097411	5.4	0.00403829433379469	nd
fAlbLTRK12a	LTR	ERV2	352	1	1	52	14.3	14.3	1.9	1.9	6	6	5.2534994848186e-07	nd
AviRTE_Oreotrochilus_melanogaster	LINE	RTE-BovB	3997	14	14	897	18.4317725752511	18.0	2.59420289855069	2.3	4.88216276477145	3.1	9.06228661131209e-06	nd
Wilpoe119	Unknown	Unknown	1020	269	268	71305	10.5412243180703	8.4	1.8048762358878	0.7	1.70248790407395	1.1	0.000720386116855751	nd
UcyLTRK2	LTR	ERV2	441	1	1	50	18	18	4	4	0	0	5.05144181232558e-07	nd
CR1-Z1_Ucy	LINE	CR1	508	1072	1037	315771	24.3173955176279	25.8	4.97931285646933	4.3	1.9967137577549	1.7	0.00319019766503972	nd
TguLTRL2a8-Le_fAlb	LTR	ERV3	248	1	1	29	19.7	19.7	7.8	7.8	1.2	1.2	2.92983625114884e-07	nd
Wilpoe153	Unknown	Unknown	2472	352	272	257859	6.80134414544419	5.1	1.04820153649952	0.5	2.21918529118641	1.4	0.00260511946856892	nd
Wilpoe157	LINE	CR1	168	1840	1812	256352	8.4012069342165	7.8	3.0821983054541	1.3	0.584161231432046	0	0.00258989442294657	nd
Wilpoe079	LINE	CR1	2196	567	542	194717	17.4676956814197	12.9	2.81924279852365	1.9	1.79656578521562	1.0	0.0019672031907412	nd
Wilpoe145	LTR	Unknown	409	761	757	247020	6.64901870292834	3	0.614691118127981	0	1.1452364181056	0.2	0.00249561431296133	nd
Wilpoe025	LINE	CR1	477	807	805	188490	17.3474587511315	16.2	3.7372396413615	2.6	1.24475834261769	0.7	0.0019042925344105	nd
TguLTR6a_fAlb	LTR	ERV3	457	150	127	24928	17.3917161424918	17.3	8.28497673299137	5.8	4.06018132220799	2.3	0.000251844682995304	nd
TguERVL2a2_LTR-Lc_fAlb	LTR	ERV3	800	3	3	214	25.3803738317757	24	5.70934579439254	7.2	3.42476635514017	1.4	2.16201709567535e-06	nd
TguLTR5a-b_Ucy	LTR	ERV3	573	2262	1964	748893	19.1619658616007	18.8	5.63405119289699	4.5	3.99965549150369	3.7	0.00756597882631588	nd
Wilpoe126	LTR	Unknown	321	62	59	15154	7.22991949320334	6.7	0.662907483172798	0	2.62625709383667	0.7	0.000153099098447964	nd
TguLTR5c_fAlb	LTR	ERV3	595	1016	932	347367	19.9133124332462	19.1	5.57227341687501	4.7	2.69801362823706	2.2	0.0035094083760442	nd
Wilpoe046	Unknown	Unknown	2729	29	24	21156	15.0052656456818	11.9	8.55028833428053	7.8	7.20419266402208	7.1	0.00021373660596312	nd
TguERVL2a2_LTR-L_Ucy	LTR	ERV3	1021	33	30	5078	23.3015557306024	22.6	8.40807404489967	7.8	4.79468294604185	4.1	5.13024430459786e-05	nd
CR1-X1d_Ucy	LINE	CR1	2932	2541	2350	1437080	19.503084031507	15.2	3.66612345868802	3	1.19105902246437	0.8	0.0145186519993137	nd
Wilpoe043	LTR	ERVL	1047	1537	1459	660008	16.5516437679553	15.8	6.77410273814699	6.5	3.74366401619509	3.8	0.00666798401533876	nd
UcyLTRK12	LTR	ERV2	527	1	1	38	7.9	7.9	5.3	5.3	0	0	3.83909577736744e-07	nd
Wilpoe123	LTR	Unknown	720	2060	1983	790541	5.44093943261638	5.0	0.870182191686463	0.3	0.384588908102229	0.1	0.00798674372351535	nd
CR1-E3_fAlb	LINE	CR1	446	6959	6854	1608327	14.1969333350779	14.1	3.881367097612	2.2	0.649181913878432	0.1	0.0162487405113843	nd
Wilpoe019	LTR	Unknown	1042	375	288	140411	12.5109806211751	11.0	1.96276502553289	1.1	5.26001310438401	5.9	0.00141855599262089	nd
UcyLTRK4	LTR	ERV2	528	1	1	36	8.3	8.3	8.3	8.3	0	0	3.63703810487442e-07	nd
CR1-E1_fAlb	LINE	CR1	445	1462	1437	227828	12.7346612356668	12.5	4.97579270326704	3.6	0.93300121144036	0.4	0.00230171977043702	nd
Wilpoe062	LTR	Unknown	589	406	297	126233	17.1989432240373	20.0	3.83825703263142	3.5	11.2576513273094	11.5	0.00127531730859059	nd
Wilpoe086	Unknown	Unknown	3031	410	371	211104	4.28252567455025	2.9	0.383028744126487	0.1	0.370683644080705	0.2	0.00213275914469836	nd
Wilpoe053	LTR	Unknown	839	272	240	114563	14.1658563410544	15.6	4.68642842802658	3.8	5.46822883479114	5.1	0.00115741665669091	nd
CR1-E2_fAlb	LINE	CR1	204	2615	2582	295330	12.3277753699235	12	4.79892391561969	2	0.824381200690972	0	0.00298368462086823	nd
Wilpoe112	LTR	Unknown	462	123	122	54337	11.4116844875499	12.7	2.36996153633766	2.0	3.15598395200213	3.2	0.00054896038751267	nd
Wilpoe083	LTR	ERV2	3511	1096	632	362684	8.21882630610033	5.7	1.40095758290846	0.8	4.97761412138354	3.6	0.00366415424452298	nd
CR1-YB1_Ucy	LINE	CR1	631	1232	1212	418468	22.8652642496099	22.4	5.10245610178244	4.3	1.84930866876298	1.4	0.00422773350464052	nd
Wilpoe056	LTR	ERV1	7857	530	336	649841	13.9215800480211	2.4	1.29913055655067	0.1	1.15402613869774	0.2	0.00656526799752694	nd
Wilpoe147	LTR	Unknown	886	753	721	157467	16.5846863152239	18.4	3.25308794858511	1.7	3.64255177275253	3.0	0.00159087077572294	nd
Wilpoe027	LTR	Unknown	1313	7748	5571	1217384	22.0108367614423	23	2.82078358186384	1.1	0.732310018856795	0.2	0.0122990888785123	nd
Wilpoe155	LTR	Unknown	423	150	149	59640	9.44631455399229	8.6	1.58276324614341	0.9	4.21017773306472	4.3	0.000602535979374195	nd
fAlbLTRK4	LTR	ERV2	374	1	1	33	12.1	12.1	0	0.0	0	0.0	3.33395159613488e-07	nd
Wilpoe144	LTR	ERVL	1452	668	635	155509	11.1143470795869	8.8	1.37289738857603	0.5	1.86701219865123	1.3	0.00157108932958588	nd
Wilpoe024	LINE	CR1	559	9075	8776	3129737	21.7629679107323	22.7	5.12517189142833	4.2	1.52820035677411	1.0	0.0316193686867648	nd
Wilpoe050	LINE	CR1	4027	17201	16767	9737984	9.58430424614308	7	1.23159737167137	0.3	0.420020160236936	0.1	0.098381719090715	nd
Tgu_rep3-L_Ucy	LTR	ERV3	996	514	407	76772	18.7464661595378	18.7	7.3620343354349	6.2	5.43014510498655	4.6	0.000775618581631719	nd
Wilpoe109	LTR	Unknown	549	540	531	240414	8.7643003319308	3.8	1.20588027319625	0.3	1.12795219912425	0.6	0.00242887466373688	nd
Wilpoe099	Unknown	Unknown	380	352	328	98398	8.64125693611749	7.7	3.27011931136784	1.8	4.1713815321449	3.7	0.000994103542898425	nd
CR1-E5_fAlb	LINE	CR1	333	9150	9089	1564219	15.5791282422733	15.2	3.16249156927464	1.4	0.985919235095372	0.3	0.0158031225204682	nd
TguLTRL2a8-Ld_fAlb	LTR	ERV3	1533	2	2	133	25.6157894736843	24.7	0	0.0	3.09248120300752	2.7	1.3436835220786e-06	nd
CR1-K4_fAlb	LINE	CR1	1107	483	481	37736	23.1171321814701	22.4	4.40895431418301	3.1	2.97440110239534	1.9	0.000381242416459836	nd
Wilpoe121	LINE	CR1	1007	4121	4072	1073862	13.0741795500741	12.7	3.1960277018831	2.2	0.665219180862424	0.3	0.0108491028149351	nd
Wilpoe041	LTR	Unknown	742	89	74	23532	8.28189274179982	7.1	4.75773839877639	4.1	8.95061618222024	8.5	0.000237741057455291	nd
TguERVK10a5_LTR_Ucy	LTR	ERV2	631	1	1	37	13.5	13.5	0	0.0	0	0.0	3.73806694112093e-07	nd
Wilpoe002	Unknown	Unknown	1752	293	287	83876	6.79556249701727	5.3	0.937377795793513	0.4	3.08402999666155	1.8	0.000847389466901241	nd
TguERVL2_I_Ucy	LTR	ERVL	5135	98	98	20137	27.0119580871033	28.6	3.88307592987981	2.4	1.43048616973729	0.6	0.0002034417675496	nd
Wilpoe080	LTR	Unknown	504	128	114	51813	9.49033447204421	6.6	2.41173836681906	1.7	1.44338872483719	0.2	0.000523460709244051	nd
TguLTRK3d_fAlb	LTR	ERV2	654	1	1	52	14	14	0	0	4	4	5.2534994848186e-07	nd
Wilpoe051	LTR	Unknown	455	419	399	155774	18.0001052807298	18	3.44812227971397	2.9	5.29696226584463	3.7	0.00157376659374641	nd
Wilpoe139	LTR	Unknown	335	199	192	49262	4.39857902643081	3.3	0.346890097844085	0	0.332400227355789	0.3	0.000497688253117565	nd
ManaSINE2_Manacus_vitellinus	SINE	RTE	484	274	273	5979	13.023615989296	12.8	2.18488041478493	1.8	1.31215922395051	0.0	6.04051411917893e-05	nd
fAlbLTR2	LTR	ERV1	492	377	321	90240	27.1211203457465	27.2	5.82202127659518	5.5	7.67124778368837	7.6	0.000911684218288521	nd
MeloSINE_Melopsittacus_undulatus	SINE	RTE	1544	108	106	17254	11.609250028979	12.3	1.89804103396326	0.5	0.86848267068507	0.1	0.000174315154059731	nd
AviRTE_Amazona_vittata	LINE	RTE-BovB	3998	3	3	111	11.7081081081081	6.7	2.55765765765766	0.0	3.0018018018018	0.0	1.12142008233628e-06	nd
Wilpoe081	LTR	ERVK	3671	159	141	248374	6.72399123901601	3.2	0.381457801541248	0	0.440823113530136	0.1	0.00250929361738911	nd
Wilpoe154	Unknown	Unknown	566	514	507	249455	7.36514160870447	7.3	1.71962398027805	1.2	2.98599987973733	3.0	0.00252021483458736	nd
AviRTE_Calypte_anna	LINE	RTE-BovB	3996	9	9	306	8.14836601307191	6.1	4.92156862745098	1.5	0.748692810457515	0	3.09148238914326e-06	nd
Wilpoe120	LTR	Unknown	574	830	815	388468	5.87231277737223	3.3	1.83727823141081	0.2	1.23097500952495	0.2	0.00392464699590099	nd
Wilpoe040	LTR	Unknown	388	2315	2285	793801	10.1389190741339	3.4	1.46625527053312	0.7	3.79641182108765	1.0	0.00801967912413172	nd
Wilpoe032	LTR	ERVL	594	1590	1490	501404	17.1662224473748	15.9	5.42137138913952	4.3	1.52570342478393	0.8	0.00506562626093459	nd
UcyLTRL3	LTR	ERV3	844	1	1	52	17.6	17.6	3.9	3.9	1.9	1.9	5.2534994848186e-07	nd
Wilpoe148	LTR	Unknown	333	438	430	129473	7.03909540985238	6.2	0.78348690460621	0.3	0.919961690855002	0.6	0.00130805065153446	nd
CR1L_fAlb	LINE	CR1	99	2026	2014	195826	23.70448714675	24	3.02443087230458	1.8	1.9967266859357	1.5	0.00197840728868094	nd
Wilpoe028	LTR	Unknown	625	2585	2495	1369285	5.16657503735286	4.3	0.68166481046754	0.3	1.80015190410709	0.8	0.0138337270039805	nd
fAlbLTRK13	LTR	ERV2	564	1	1	68	15.6	15.6	4.4	4.4	6	6	6.86996086476279e-07	nd
